periodo,var_mensual,year,month,factor,indice_bruto,IPC
2016-05-01,0.2244508916687,2016,5,1.002244508916687,195.9780452431241,94.39102506436905
2016-06-01,0.449772453169,2016,6,1.00449772453169,196.85950050488674,94.81556989337243
2016-07-01,0.2419246571828,2016,7,1.002419246571828,197.33575217661496,95.0449521357929
2016-08-01,0.0488428239818,2016,8,1.000488428239818,197.43213653070376,95.09137477446816
2016-09-01,0.243374040045,2016,9,1.00243374040045,197.91263509772568,95.32280249499112
2016-10-01,0.1657962194135,2016,10,1.001657962194135,198.24076676445935,95.48084409776682
2016-11-01,0.0537609787908,2016,11,1.000537609787908,198.3473429410343,95.53217553411149
2016-12-01,-0.204227387369,2016,12,0.99795772612631,197.94226334463002,95.3370726679214
2017-01-01,0.5400973174716,2017,1,1.005400973174716,199.01134419909692,95.8519856399568
2017-02-01,0.2393936898781,2017,2,1.002393936898781,199.48776479925115,96.08144924520172
2017-03-01,0.3822485655961,2017,3,1.003822485655961,200.250303918736,96.44871920674544
2017-04-01,0.2394186709697,2017,4,1.002394186709697,200.72974053499104,96.67963544843754
2017-05-01,0.1268733870915,2017,5,1.001268733870915,200.98441315570778,96.8022961765587
2017-06-01,-0.389831042958,2017,6,0.99610168957042,200.20091352171985,96.42493077576631
2017-07-01,0.2411056065476,2017,7,1.002411056065476,200.68360914858025,96.65741668997634
2017-08-01,0.2021300192334,2017,8,1.002021300192334,201.08925096635053,96.85279034492228
2017-09-01,-0.151175673453,2017,9,0.99848824326547,200.78525293696057,96.70637248686033
2017-10-01,0.5867430804031,2017,10,1.005867430804031,201.963346515038,97.27379043573582
2017-11-01,0.0855902548158,2017,11,1.000855902548158,202.13620745795478,97.35704732083876
2017-12-01,0.1476929293761,2017,12,1.001476929293761,202.4347483440792,97.50083679598099
2018-01-01,0.4605232707784,2018,1,1.004605232707784,203.36700746834535,97.94985083863014
2018-02-01,0.0449729974148,2018,2,1.000449729974148,203.45846770735662,97.99390182251558
2018-03-01,0.2046331942689,2018,3,1.002046331942689,203.87481126883677,98.19442987400375
2018-04-01,0.3161413126575,2018,4,1.003161413126575,204.51934377336008,98.50486303356398
2018-05-01,0.2797273900968,2018,5,1.002797273900968,205.0914403959404,98.78040811604617
2018-06-01,0.103072734576,2018,6,1.00103072734576,205.30283375193775,98.8822237839167
2018-07-01,0.3542045512675,2018,7,1.003542045512675,206.03002573296828,99.23246912095387
2018-08-01,0.1718671803708,2018,8,1.001718671803708,206.38412372891278,99.40301716764436
2018-09-01,0.339880605725,2018,9,1.00339880605725,207.08558333876286,99.74086874450269
2018-10-01,0.3665744494877,2018,10,1.003665744494877,207.84470617585535,100.10649328501712
2018-11-01,-0.005284545801,2018,11,0.99994715454199,207.83372252716254,100.1012031115297
2018-12-01,-0.10110079438,2018,12,0.9989889920562,207.62360098269804,100
2019-01-01,0.1117367136361,2019,1,1.001117367136361,207.85559277116903,100.11173671363609
2019-02-01,0.0462033840476,2019,2,1.000462033840476,207.9516290889615,100.15799172382663
2019-03-01,0.4742751472738,2019,3,1.004742751472738,208.9378919840814,100.63301618658127
2019-04-01,0.2606085991428,2019,4,1.002606085991428,209.48240209745967,100.89527448034028
2019-05-01,0.6044392213765,2019,5,1.006044392213765,210.74859589761834,101.50512509181493
2019-06-01,0.0487800043309,2019,6,1.000487800043309,210.85139907182452,101.5546392962308
2019-07-01,0.2235937820781,2019,7,1.002235937820781,211.3228496895738,101.78170915510903
2019-08-01,0.1872079065719,2019,8,1.001872079065719,211.7184627725857,101.9722525620914
2019-09-01,0.0121052484373,2019,9,1.000121052484373,211.744091818492,101.98459655660118
2019-10-01,0.8111864105851,2019,10,1.008111864105851,213.46173111654045,102.81188174475835
2019-11-01,0.0848414351162,2019,11,1.000848414351162,213.64283511264358,102.89910882070058
2019-12-01,0.0992766974792,2019,12,1.000992766974792,213.85493266374436,103.0012636576733
2020-01-01,0.5661944878906,2020,1,1.005661944878906,215.06576750456864,103.58445113496072
2020-02-01,0.4483695166987,2020,2,1.004483695166987,216.03005684691325,104.04889223788953
2020-03-01,0.3305908743564,2020,3,1.003305908743564,216.7442325007161,104.39286838049694
2020-04-01,-0.040676546008,2020,4,0.99959323453992,216.65606843326324,104.35040496736106
