year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2018,2,3488,1584976605.1656394,2331.0249004364014,679948.3801605504,679948.3801605505,450000,450000,NA,2018.2,sin_winsor,T2,98.72249831117561,0.9872249831117561,NA,NA,NA,688747.1364605636,688747.13646056375,455823.1484191066,455823.1484191066,679948.3801605504,688747.1364605636,450000,455823.1484191066,1605486725.1938422,NA,732930.8025380702,537187561309.0997,1.06415078007375,-44183.66607750668,FALSE,FALSE,TRUE
2018,3,3470,1536524179.4047267,2285.2430415153503,672367.9501440922,672367.9501440922,450000,450000,NA,2018.3,sin_winsor,T3,99.45878501103364,0.9945878501103365,NA,NA,NA,676026.7080172977,676026.7080172977,452448.72029160464,452448.72029160464,672367.9501440922,676026.7080172977,450000,452448.72029160464,1544885330.375059,NA,791347.3646609939,626230651555.9001,1.1705859476793712,-115320.65664369627,FALSE,FALSE,TRUE
2018,4,3510,1564944688.0091429,2268.491932153702,689861.2535612535,689861.2535612535,450000,450000,NA,2018.4,sin_winsor,T4,100.06923213218228,1.0006923213218228,NA,NA,NA,689383.9783341298,689383.9783341298,449688.67094492266,449688.67094492266,689861.2535612535,689383.9783341298,450000,449688.67094492266,1563861993.0069957,NA,796951.7630888103,635132112690.3632,1.1560346456188522,-107567.7847546804,FALSE,FALSE,TRUE
2019,1,3125,1364094637.0282173,2073.45113158226,657886.08,657886.08,450000,450000,NA,2019.1,sin_winsor,T1,100.30091487468133,1.0030091487468134,NA,NA,NA,655912.3421974571,655912.3421974571,448649.9455785046,448649.9455785046,657886.08,655912.3421974571,450000,448649.9455785046,1360002188.148088,NA,682357.0789470698,465611183189.1776,1.0403174861156246,-26444.736749612774,FALSE,FALSE,TRUE
2019,2,3156,1499802889.3808126,2168.0212483406067,691784.2205323194,691784.2205323194,450000,450000,NA,2019.2,sin_winsor,T2,101.318346289462,1.01318346289462,NA,NA,NA,682782.7790989825,682782.7790989825,444144.6356757246,444144.6356757246,691784.2205323194,682782.7790989825,450000,444144.6356757246,1480287573.0876448,NA,709564.3984854387,503481635598.0023,1.0392242162606942,-26781.61938645626,FALSE,FALSE,TRUE
2019,3,3161,1421748572.998176,2097.2822728157043,677900.4387851945,677900.4387851945,450000,450000,NA,2019.3,sin_winsor,T3,101.91285275793386,1.0191285275793387,NA,NA,NA,665176.5900375311,665176.5900375311,441553.7273486515,441553.7273486515,677900.4387851945,665176.5900375311,450000,441553.7273486515,1395063070.5777135,NA,710417.7301760231,504693351348.4528,1.068013728709153,-45241.140138492054,FALSE,FALSE,TRUE
2019,4,3198,1473783206.2087317,2115.5343021154404,696648.220137586,696648.220137586,450000,450000,NA,2019.4,sin_winsor,T4,102.90408474104407,1.0290408474104407,NA,NA,NA,676987.9173316456,676987.9173316456,437300.4250826538,437300.4250826538,696648.220137586,676987.9173316456,450000,437300.4250826538,1432191161.2327883,NA,733742.1685918225,538377569969.83044,1.0838334773888938,-56754.25126017682,FALSE,FALSE,TRUE
2020,1,3724,1481676099.8500865,2086.085047006607,710266.3920515574,710266.3920515574,480000,480000,NA,2020.1,sin_winsor,T1,104.00873725111573,1.0400873725111572,NA,NA,NA,682891.082829619,682891.082829619,461499.69001267815,461499.69001267815,710266.3920515574,682891.082829619,480000,461499.69001267815,1424568876.6250186,NA,732698.3944870686,536846937283.9281,1.07293595261351,-49807.31165744965,FALSE,FALSE,TRUE
2020,2,1572,1139185232,1572,724672.5394402036,724672.5394402036,470000,470000,NA,2020.2,sin_winsor,T2,104.29081382708176,1.0429081382708176,NA,NA,NA,694857.4978441907,694857.4978441907,450662.89422122866,450662.89422122866,724672.5394402036,694857.4978441907,470000,450662.89422122866,1092315986.6110678,NA,849204.7531044037,721148712695.1112,1.2221279265735472,-154347.2552602131,FALSE,FALSE,TRUE
2020,3,1671,1214186392,1671,726622.6163973669,726622.6163973669,450000,450000,NA,2020.3,sin_winsor,T3,104.64117086609605,1.0464117086609606,NA,NA,NA,694394.5775675509,694394.5775675509,430041.05962828145,430041.05962828145,726622.6163973669,694394.5775675509,450000,430041.05962828145,1160333339.1153777,NA,847902.6042651867,718938826319.6858,1.2210674329217417,-153508.02669763574,FALSE,FALSE,TRUE
2020,4,4321,1667761725.032133,2114.507839292288,788723.3587132607,788723.3587132609,500000,500000,NA,2020.4,sin_winsor,T4,105.87368065554574,1.0587368065554574,NA,NA,NA,744966.4107544625,744966.4107544626,472260.90271360526,472260.90271360526,788723.3587132607,744966.4107544625,500000,472260.90271360526,1575237315.5497494,NA,902789.8250393532,815029468194.586,1.2118530607642506,-157823.4142848908,FALSE,FALSE,TRUE
2021,1,1548,1272944553,1548,822315.6027131783,822315.6027131783,500000,500000,NA,2021.1,sin_winsor,T1,107.07404092982823,1.0707404092982822,NA,NA,NA,767987.8293302567,767987.8293302567,466966.59214316827,466966.59214316827,822315.6027131783,767987.8293302567,500000,466966.59214316827,1188845159.8032372,NA,925468.2946053613,856491564319.7557,1.205055938728143,-157480.46527510465,FALSE,FALSE,TRUE
2021,2,1596,1226882441,1596,768723.3339598997,768723.3339598997,500000,500000,NA,2021.2,sin_winsor,T2,108.03450209686142,1.080345020968614,NA,NA,NA,711553.5491344043,711553.5491344043,462815.1102614522,462815.1102614522,768723.3339598997,711553.5491344043,500000,462815.1102614522,1135639464.4185092,NA,819795.3156298057,672064359528.5726,1.1521203381348826,-108241.76649540136,FALSE,FALSE,TRUE
2021,3,1661,1262490142,1661,760078.3515954245,760078.3515954245,500000,500000,NA,2021.3,sin_winsor,T3,109.7547590659271,1.097547590659271,NA,NA,NA,692524.2769098178,692524.2769098178,455561.11120399047,455561.11120399047,760078.3515954245,692524.2769098178,500000,455561.11120399047,1150282823.9472075,NA,795188.5871173028,632324889081.6123,1.1482465144263154,-102664.31020748496,FALSE,FALSE,TRUE
2021,4,1867,1431333000,1867,766648.6341724691,766648.6341724691,500000,500000,NA,2021.4,sin_winsor,T4,112.89696053641136,1.1289696053641136,NA,NA,NA,679069.3305912437,679069.3305912437,442881.71942303155,442881.71942303155,766648.6341724691,679069.3305912437,500000,442881.71942303155,1267822440.213852,NA,743029.0927262626,552092232637.6129,1.0941873815436949,-63959.762135018944,FALSE,FALSE,TRUE
2022,1,1729,1268829499,1729,733851.6477732793,733851.6477732793,500000,500000,NA,2022.1,sin_winsor,T1,115.97150264487423,1.1597150264487424,NA,NA,NA,632786.1854308003,632786.1854308003,431140.39966446813,431140.39966446813,733851.6477732793,632786.1854308003,500000,431140.39966446813,1094087314.6098537,NA,711675.4601392596,506481960564.4268,1.1246697170778965,-78889.27470845926,FALSE,FALSE,TRUE
2022,2,1562,1150379130,1562,736478.3162612036,736478.3162612036,500000,500000,NA,2022.2,sin_winsor,T2,120.4790654929775,1.2047906549297749,NA,NA,NA,611291.5245878394,611291.5245878394,415009.8591436569,415009.8591436569,736478.3162612036,611291.5245878394,500000,415009.8591436569,954837361.406205,NA,638903.7953938743,408198059768.69763,1.0451703805719412,-27612.270806034874,FALSE,FALSE,TRUE
2022,3,2159,1688115000,2159,781896.7114404817,781896.7114404817,550000,550000,NA,2022.3,sin_winsor,T3,124.7339344192524,1.247339344192524,NA,NA,NA,626851.63831391,626851.63831391,440938.54856798996,440938.54856798996,781896.7114404817,626851.63831391,550000,440938.54856798996,1353372687.1197317,NA,634547.9201531963,402651062970.74725,1.0122776768359218,-7696.281839286353,FALSE,FALSE,TRUE
2022,4,2198,1579976088,2198,718824.4258416742,718824.4258416742,500000,500000,NA,2022.4,sin_winsor,T4,127.54687241140289,1.2754687241140288,NA,NA,NA,563576.6775394566,563576.6775394566,392012.74837006454,392012.74837006454,718824.4258416742,563576.6775394566,500000,392012.74837006454,1238741537.2317257,NA,541417.0794073351,293132453873.9687,0.9606804202245043,22159.59813212149,FALSE,FALSE,FALSE
