year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2019,1,3125,1353544917.6707268,2073.45113158226,652798.08,652798.08,4800000,2019.1,winsor_p99_5,T1,100.30091487468133,1.0030091487468134,NA,NA,NA,650839.6068127828,650839.6068127828,652798.08,650839.6068127828,1349484119.2245178,4785599.419504048,637706.99939321,406670217075.09155,0.9798220524963374,13132.607419572765,FALSE,FALSE,FALSE
2019,2,3156,1494266054.3802977,2168.0212483406067,689230.3548795944,689230.3548795944,4800000,2019.2,winsor_p99_5,T2,101.318346289462,1.01318346289462,NA,NA,NA,680262.1441436618,680262.1441436618,689230.3548795944,680262.1441436618,1474822782.9451995,4737542.780541062,693403.6491638168,480808620673.6975,1.0193182953561204,-13141.505020155006,FALSE,FALSE,TRUE
2019,3,3161,1419890809.517036,2097.2822728157043,677014.6431509017,677014.6431509017,4800000,2019.3,winsor_p99_5,T3,101.91285275793386,1.0191285275793387,NA,NA,NA,664307.420339773,664307.420339773,677014.6431509017,664307.420339773,1393240176.3785365,4709906.425052283,705335.9237971341,497498765398.7565,1.0617613204386251,-41028.50345736116,FALSE,FALSE,TRUE
2019,4,3198,1470898988.0857725,2115.5343021154404,695284.8680425265,695284.8680425265,4800000,2019.4,winsor_p99_5,T4,102.90408474104407,1.0290408474104407,NA,NA,NA,675663.0407745193,675663.0407745193,695284.8680425265,675663.0407745193,1429388339.4301193,4664537.867548307,726140.4315103616,527279926274.05414,1.0747079353015663,-50477.390735842324,FALSE,FALSE,TRUE
2020,1,3724,1477194714.1422312,2086.085047006607,708118.16433942,708118.16433942,5200000,2020.1,winsor_p99_5,T1,104.00873725111573,1.0400873725111572,NA,NA,NA,680825.6527812271,680825.6527812271,708118.16433942,680825.6527812271,1420260213.88543,4999579.975137347,717550.1954813336,514878283035.3001,1.0539411853094605,-36724.542700106555,FALSE,FALSE,TRUE
2020,2,1572,1124185232,1572,715130.5547073791,715130.5547073791,5200000,2020.2,winsor_p99_5,T2,104.29081382708176,1.0429081382708176,NA,NA,NA,685708.0968733195,685708.0968733195,715130.5547073791,685708.0968733195,1077933128.2848582,4986057.553085934,783339.15545552,613620232469.7673,1.1423799121337155,-97631.0585822005,FALSE,FALSE,TRUE
2020,3,1671,1203186392,1671,720039.7318970676,720039.7318970676,5200000,2020.3,winsor_p99_5,T3,104.64117086609605,1.0464117086609606,NA,NA,NA,688103.6650655081,688103.6650655081,720039.7318970676,688103.6650655081,1149821224.324464,4969363.355704585,805780.4539723815,649282140003.9373,1.1710160763286597,-117676.78890687341,FALSE,FALSE,TRUE
2020,4,4321,1637617387.4018612,2114.507839292288,774467.399444573,774467.399444573,5200000,2020.4,winsor_p99_5,T4,105.87368065554574,1.0587368065554574,NA,NA,NA,731501.3463679047,731501.3463679047,774467.399444573,731501.3463679047,1546765331.3477976,4911513.388221495,818115.4018550479,669312810752.4465,1.1184058729586823,-86614.0554871432,FALSE,FALSE,TRUE
2021,1,1548,1249821552.9999988,1548,807378.2642118855,807378.2642118855,5428999.999999905,2021.1,winsor_p99_5,T1,107.07404092982823,1.0707404092982822,NA,NA,NA,754037.3532189814,754037.3532189814,807378.2642118855,754037.3532189814,1167249822.7829833,5070323.257490433,834508.8968900156,696405098988.5907,1.1067208982784493,-80471.54367103409,FALSE,FALSE,TRUE
2021,2,1596,1208985440.9999993,1596,757509.6748120296,757509.6748120297,5428999.999999905,2021.2,winsor_p99_5,T2,108.03450209686142,1.080345020968614,NA,NA,NA,701173.8473444926,701173.8473444927,757509.6748120296,701173.8473444926,1119073460.3618102,5025246.46721876,743569.6486746,552895822430.068,1.060464036830053,-42395.80133010742,FALSE,FALSE,TRUE
